AT2G05710
AT3G24170
AT5G56630
AT1G63940
AT1G47420
AT2G41250
AT1G02816
AT4G32470
AT2G44350
AT3G10090
AT4G29130
AT2G42570
AT5G66510
AT1G24180
AT5G13430
AT1G65980
AT3G55760
AT1G08830
AT4G00585
AT1G07080
AT1G14450
AT5G32440
AT4G38510
AT1G77940
AT1G78660
AT1G17490
AT4G02480
AT5G53310
AT4G27120
AT1G76150
AT5G38530
AT1G79010
AT3G62290
AT3G07940
AT4G26910
AT5G51510
AT1G78420
AT3G26720
AT3G15660
AT5G13560
AT5G45390
AT3G47010
AT1G04850
AT3G22480
AT3G59600
AT1G68310
AT1G48420
AT3G52420
AT5G60160
AT3G20620
AT3G23490
AT3G21250
AT5G03345
AT3G60640
AT3G05000
AT3G12290
AT1G78920
AT5G40540
AT5G39340
AT5G50375
AT5G27740
AT4G16150
AT2G39780
AT4G17390
AT4G16760
AT2G32520
AT3G60450
AT1G62810
AT1G51710
AT1G50430
AT5G36230
AT5G51660
AT5G35630
AT3G51610
AT2G19180
AT5G41560
AT3G54826
AT1G65930
AT3G19490
AT3G49680
AT5G49020
AT1G41880
AT3G53740
AT1G67250
AT1G80420
AT5G03280
AT2G20585
AT3G09455
AT5G24260
AT1G26690
AT5G56260
AT5G63620
AT3G18760
AT3G05530
AT1G11680
AT4G20850
AT4G32130
AT1G67350
AT4G10970
AT5G58110
AT5G20060
AT1G06530
AT5G11500
AT5G37830
AT1G34370
AT5G12210
AT1G66590
AT1G48160
AT2G30260
AT5G15530
AT3G10620
AT4G12340
AT2G45070
AT5G01350
AT4G19350
AT5G10350
AT5G03430
AT5G53045
AT3G09970
AT3G22220
AT4G29430
AT4G16340
AT1G14620
AT2G45710
AT2G30920
AT1G02560
AT1G27350
AT2G22230
AT5G23480
AT5G03500
AT3G22170
AT1G77880
AT1G16560
AT3G02870
AT5G02240
AT5G59840
AT4G39050
AT4G35830
AT4G13720
AT5G47010
AT5G14710
AT5G10240
AT2G38700
AT2G37620
AT1G29330
AT4G29735
AT1G69510
AT4G04780
AT5G57860
AT1G23750
AT2G46900
AT5G65650
AT5G26680
AT1G74270
AT2G14835
AT4G30760
AT5G13470
AT1G15280
AT5G48655
AT3G60630
AT1G68660
AT1G30580
AT5G23040
AT2G38560
AT3G20630
AT2G15790
AT4G36080
AT4G16710
AT2G40510
AT1G10522
AT5G11700
AT5G16210
AT4G18730
AT4G29870
AT1G16000
AT1G55205
AT4G17890
AT3G16310
AT1G05210
AT5G21060
AT2G23310
AT2G13840
AT3G07170
AT5G52960
AT2G30000
AT4G23060
AT1G09210
AT1G14510
AT1G45249
AT3G17590
AT5G46020
AT4G31430
AT4G34640
AT1G58280
AT1G07660
AT5G52570
AT4G26840
AT3G49010
AT2G43810
AT1G01050
AT2G24765
AT5G48810
AT2G44120
AT4G24680
AT5G58410
AT4G26410
AT1G09760
AT5G42020
AT5G15610
AT5G42190
AT2G21290
AT3G12350
AT1G30550
AT4G24190
AT2G01320
AT5G12320
AT5G55000
AT3G52905
AT1G29170
AT4G15480
AT5G40250
AT1G48175
AT5G19690
AT5G02020
AT1G17480
AT3G56680
AT2G26240
AT5G63460
AT1G69750
AT2G16930
AT3G19520
AT1G07020
AT3G50520
AT4G33240
AT4G30600
AT3G46040
AT2G19430
AT1G14300
AT4G01395
AT1G69220
AT4G14000
AT3G55460
AT2G27330
AT2G18876
AT3G53670
AT4G15000
AT4G01860
AT1G55340
AT3G48380
AT2G47470
AT3G09890
AT1G14685
AT3G44330
AT3G27340
AT1G07210
AT4G30620
AT3G23640
AT2G24440
AT2G29020
AT2G25480
AT5G08320
AT3G29280
AT4G15780
AT3G07640
AT4G38810
AT1G72090
AT3G11591
AT2G36230
AT1G75660
AT1G59960
AT5G23080
AT5G13960
AT2G36930
AT4G08690
AT2G25760
AT1G22780
AT1G47820
AT4G33160
AT5G48110
AT5G46420
AT1G07170
AT5G28060
AT4G30220
AT2G34520
AT1G53030
AT3G22760
AT3G18940
AT1G44810
AT5G60680
AT5G14750
AT2G17320
AT5G66650
AT5G10720
AT3G62630
AT5G58720
AT2G36900
AT1G06420
AT1G47210
AT5G11450
AT5G02480
AT1G22160
AT3G15351
AT2G43745
AT4G36950
AT4G34000
AT2G23050
AT2G27040
AT2G36350
AT3G05870
AT3G08740
AT5G48760
AT1G26665
AT1G05160
AT5G27860
AT2G24290
AT3G19500
AT5G63135
AT5G17870
AT3G23255
AT5G44710
AT4G20440
AT3G49550
AT3G47610
AT3G21100
AT3G56270
AT4G00560
AT5G55140
AT5G62890
AT1G10120
AT1G06515
AT3G07270
AT4G08280
AT5G48790
AT3G26810
AT1G71010
AT4G03120

